occupation_id,core_occupation,value_chain,technology,,,,,,,,,,,,,,,,,,,,,,,
176,Assembly technician (also known as: Production worker),Manufacturing,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,
177,Compliance specialist (also known as: Controls specialist),Manufacturing,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,
178,"CNC fabrication technician (also known as: CNC operator, CNC programmer, Manufacturing technician)",Manufacturing,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,
179,Design engineer - Electrical & instrumentation,Manufacturing,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,
180,Design engineer- Mechanical,Manufacturing,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,
181,Design - Mechatronics,Manufacturing,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,
182,"Manufacturing engineer (also known as: Manufacturing design engineer, Manufacturing process engineer, Tooling engineer)",Manufacturing,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,
183,Materials specialist,Manufacturing,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,
184,Pipefitters/Steamfitters,Manufacturing,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,
185,Production scheduler,Manufacturing,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,
186,Quality control specialist,Manufacturing,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,
187,Service technician,Manufacturing,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,
188,Sourcing specialist,Manufacturing,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,
189,Test technician,Manufacturing,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,
190,Test validation engineer,Manufacturing,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,
191,Welder,Manufacturing,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,
192,Facility maintenance planner,Manufacturing,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,
193,Maintenance trades - Electrical,Manufacturing,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,
194,Maintenance trade - Electromechanical,Manufacturing,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,
195,Maintenance trade - Instrumentation & controls (also known as: Automation technician),Manufacturing,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,
